Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
997,1516,388,54,42,9999,0,1341,0,3735,5008,2,2,2419,441,2000,1,0,61,60,36,0,0,0,140,0,1832,1920,2611,967,0,0,55,23,27,52,0,0,0,5,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,22,26,1,100,0,0,1,41,45,12,0,100,0,0,0,0,121
1997,1516,388,54,42,9999,0,1273,0,3735,4754,2,2,1171,441,1353,1,0,60,60,36,0,0,0,145,0,1832,1920,2395,978,0,9,47,45,28,54,0,9,0,10,22,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,21,25,1,100,0,0,2,37,46,12,0,100,0,0,0,0,121
2997,1516,388,54,42,9999,0,1226,0,3735,4579,2,2,1171,441,1353,1,0,60,60,37,0,0,0,71,0,1832,1920,2475,1154,0,10,42,18,29,29,10,9,0,18,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,21,25,1,100,0,0,1,40,46,12,0,100,0,0,0,0,121
3999,1516,388,54,42,9999,0,1223,0,3735,4567,2,2,1171,441,1353,1,0,60,60,36,0,0,0,16,0,1832,1920,2464,1088,0,13,52,26,35,38,13,0,9,5,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,21,25,1,100,0,0,2,37,45,11,0,100,0,0,0,0,121
4997,1516,388,54,42,9999,0,1251,0,3750,4691,2,2,1171,441,1353,1,0,60,60,36,0,0,0,83,0,1832,1920,2455,1090,0,5,47,42,38,39,0,5,0,10,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,21,26,1,100,0,0,1,39,44,12,0,100,0,0,0,0,121
5997,1516,388,54,42,9999,0,1236,0,3750,4635,2,2,1171,441,1353,1,0,60,60,36,0,0,0,115,0,1832,1920,2515,1082,0,9,27,38,44,38,5,9,0,5,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,21,26,1,100,0,0,1,38,44,12,0,100,0,0,0,0,121
6997,1516,388,54,42,9999,0,1211,0,3750,4541,2,2,1171,441,1353,1,0,60,60,37,0,0,0,24,0,1832,1920,2494,1104,0,5,47,35,52,27,0,0,5,10,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,21,26,1,100,0,0,1,40,46,12,0,100,0,0,0,0,121
7997,1516,388,54,42,9999,0,1234,0,3750,4627,2,2,1171,441,1353,1,0,60,60,36,0,0,0,182,0,1832,1920,2420,1137,0,13,66,43,54,38,13,9,0,5,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,21,25,1,100,0,0,1,42,45,12,0,100,0,0,0,0,121
8998,1516,388,54,42,9999,0,1234,0,3750,4627,2,2,1171,441,1353,1,0,60,60,36,0,0,0,74,0,1832,1920,2413,1092,0,5,52,30,45,39,5,5,0,14,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,21,26,1,100,0,0,2,39,45,12,0,100,0,0,0,0,121
9998,1516,388,54,42,9999,0,1240,0,3750,4650,2,2,1171,441,1353,1,0,60,60,36,0,0,0,63,0,1832,1920,2681,1164,0,9,50,29,39,39,0,0,9,9,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,22,26,1,100,0,0,1,41,44,12,0,100,0,0,0,0,121
10998,1516,388,54,42,9999,0,1229,0,3750,4608,2,2,1171,441,1353,1,0,60,60,36,0,0,0,72,0,1832,1920,2673,1091,0,9,33,35,39,35,9,0,0,0,25,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,22,26,1,100,0,0,1,41,44,12,0,100,0,0,0,0,121
11998,1516,388,54,42,9999,0,1231,0,3750,4616,2,2,1171,441,1353,1,0,60,60,37,0,0,0,16,0,1832,1920,2601,1092,0,0,56,33,42,44,0,0,0,5,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,22,26,1,100,0,0,1,41,44,12,0,100,0,0,0,0,121
12998,1516,388,54,42,9999,0,1238,0,3750,4642,2,2,1171,441,1353,1,0,60,60,36,0,0,0,13,0,1832,1920,2671,1088,0,9,35,44,39,54,0,5,9,5,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,22,26,1,100,0,0,1,42,44,11,0,100,0,0,0,0,121
13998,1516,388,54,42,9999,0,1249,0,3750,4683,2,2,1171,441,1353,1,0,60,60,36,0,0,0,94,0,1832,1920,2747,1103,0,13,47,50,34,19,0,13,5,9,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,22,26,1,100,0,0,1,42,44,11,0,100,0,0,0,0,121
14998,1516,388,54,42,9999,0,1243,0,3750,4661,2,2,1171,441,1353,1,0,60,60,36,0,0,0,20,0,1832,1920,2693,1112,0,17,45,29,42,45,17,4,0,5,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,22,26,1,100,0,0,1,41,45,11,0,100,0,0,0,0,121
15998,1516,388,54,42,9999,0,1226,0,3750,4597,2,2,1171,441,1353,1,0,60,60,37,0,0,0,137,0,1832,1920,2410,1102,0,5,33,44,47,44,5,0,0,10,21,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,21,25,1,100,0,0,2,40,45,11,0,100,0,0,0,0,121
16998,1516,388,54,42,9999,0,1243,0,3750,4661,2,2,1171,441,1353,1,0,60,60,36,0,0,0,186,0,1832,1920,2465,1132,0,0,52,42,35,42,0,0,0,10,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,21,26,1,100,0,0,1,40,45,12,0,100,0,0,0,0,121
17999,1516,388,54,42,9999,0,1236,0,3750,4635,2,2,1171,441,1353,1,0,60,60,37,0,0,0,27,0,1832,1920,2608,1100,0,0,52,47,18,35,0,0,0,0,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,22,26,1,100,0,0,1,42,45,12,0,100,0,0,0,0,121
18998,1516,388,54,42,9999,0,1257,0,3750,4713,2,2,1171,441,1353,1,0,60,60,37,0,0,0,67,0,1832,1920,2791,1084,0,5,56,47,48,47,5,0,0,5,25,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,22,26,1,100,0,0,1,42,44,11,0,100,0,0,0,0,121
20004,1517,388,54,42,9999,0,1246,0,3750,4672,2,2,1171,441,1353,1,0,60,60,37,0,0,0,81,0,1832,1920,2667,1072,0,5,39,41,42,52,5,5,5,13,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,22,26,1,100,0,0,1,39,45,12,0,100,0,0,0,0,121
20998,1517,388,54,42,9999,0,1229,0,3750,4608,2,2,1171,441,1353,1,0,60,60,36,0,0,0,79,0,1832,1920,2519,1090,0,5,30,47,39,38,0,0,5,10,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,22,25,1,100,0,0,1,41,46,12,0,100,0,0,0,0,121
21998,1517,388,54,42,9999,0,1221,0,3750,4578,2,2,1171,441,1353,1,0,60,60,36,0,0,0,201,0,1832,1920,2549,1146,0,13,54,47,31,35,13,9,0,9,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,22,25,1,100,0,0,1,42,46,12,0,100,0,0,0,0,121
22998,1517,388,54,42,9999,0,1220,0,3750,4575,2,2,1171,441,1353,1,0,60,60,36,0,0,0,34,0,1832,1920,2575,1107,0,5,43,42,31,35,0,5,0,5,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,22,25,1,100,0,0,1,42,46,12,0,100,0,0,0,0,121
23998,1517,388,54,42,9999,0,1242,0,3750,4657,2,2,1171,441,1353,1,0,60,60,36,0,0,0,13,0,1832,1920,2513,1105,0,5,29,35,33,31,0,5,0,5,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,22,25,1,100,0,0,1,41,46,12,0,100,0,0,0,0,121
24999,1517,388,54,42,9999,0,1219,0,3752,4573,2,2,1171,441,1353,1,0,60,60,36,0,0,0,12,0,1832,1920,2547,1089,0,9,29,55,43,54,0,9,4,9,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,22,26,1,100,0,0,1,41,46,12,0,100,0,0,0,0,121
26001,1517,388,53,42,9999,0,1218,0,3752,4569,2,2,1171,441,1353,1,0,60,60,36,0,0,0,11,0,1832,1920,2544,1088,0,17,42,26,45,50,17,9,0,0,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,21,25,1,100,0,0,2,41,45,11,0,100,0,0,0,0,121
26998,1517,388,53,42,9999,0,1284,0,3752,4817,2,2,1171,441,1353,1,0,60,60,36,0,0,0,23,0,1832,1920,2703,1073,0,5,44,35,27,45,5,0,0,13,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,22,25,1,100,0,0,1,43,45,12,0,100,0,0,0,0,121
27999,1517,388,53,42,9999,0,1220,0,3752,4577,2,2,1171,441,1353,1,0,60,60,36,0,0,0,28,0,1832,1920,2792,1103,0,0,42,42,42,38,0,0,0,14,24,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,22,26,1,100,0,0,1,44,45,12,0,100,0,0,0,0,121
28999,1517,388,53,42,9999,0,1237,0,3752,4641,2,2,1171,441,1353,1,0,60,60,36,0,0,0,15,0,1832,1920,2608,1145,0,9,39,35,22,41,9,0,5,5,25,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,22,26,1,100,0,0,1,43,46,12,0,100,0,0,0,0,121
29999,1517,388,53,42,9999,0,1197,0,3752,4491,2,2,1171,441,1353,1,0,60,60,37,0,0,0,47,0,1832,1920,2221,1092,0,0,43,45,35,36,0,0,0,10,22,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,21,25,1,100,0,0,2,38,45,12,0,100,0,0,0,0,121
30999,1517,388,53,42,9999,0,1218,0,3752,4569,2,2,1171,441,1353,1,0,60,60,37,0,0,0,60,0,1832,1920,2356,1099,0,9,40,35,38,52,0,5,9,5,22,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,21,25,1,100,0,0,2,38,45,12,0,100,0,0,0,0,121
32000,1517,388,53,42,9999,0,1226,0,3752,4599,2,2,1171,441,1353,1,0,60,60,37,0,0,0,17,0,1832,1920,2404,1077,0,0,51,38,33,30,0,0,0,10,22,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,21,25,1,100,0,0,2,39,45,12,0,100,0,0,0,0,121
32999,1517,388,53,42,9999,0,1215,0,3752,4558,2,2,1171,441,1353,1,0,60,60,37,0,0,0,18,0,1832,1920,2488,1089,0,20,44,27,35,38,20,5,9,0,23,0,0,6504,463,0,371,6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,22,26,1,100,0,0,1,40,46,12,0,100,0,0,0,0,121
