Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
1969,591,344,38,44,9999,0,1500,0,3639,6364,2,2,2419,441,2000,1,0,41,60,34,0,0,37,25,0,1832,1920,2843,1398,194,10,61,61,72,61,10,5,10,5,30,0,0,6521,411,0,325,8,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,45,33,2,100,0,0,1,18,36,0,2,98,0,0,0,194,121
2966,591,344,38,44,9999,0,1500,0,3639,6011,2,2,2419,441,2000,1,0,60,60,124,0,0,10,10,0,1824,1920,3168,1392,194,5,47,33,33,44,5,5,5,5,32,0,0,6521,411,0,325,8,333,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,44,33,2,100,0,0,1,17,36,0,2,98,0,0,0,194,121
3966,591,344,38,44,9999,0,1500,0,3639,6146,2,2,2419,441,2000,1,0,60,60,123,0,0,10,10,0,1824,1920,3168,1392,194,5,47,33,33,44,5,5,5,5,32,0,0,6521,411,0,325,8,333,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,45,33,2,100,0,0,1,18,37,0,2,98,0,0,0,194,121
4967,591,344,38,44,9999,0,1500,0,3639,5542,2,2,2419,441,2000,1,0,55,60,87,0,0,7,38,0,1824,1920,2959,1399,191,9,35,38,31,38,5,9,5,10,24,0,0,6521,411,0,325,8,333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,43,33,2,100,0,0,1,16,36,0,2,98,0,0,0,191,121
5967,591,344,38,44,9999,0,1500,0,3639,5767,2,2,1171,441,1353,1,0,56,60,85,0,0,5,39,0,1824,1920,3444,1466,198,19,41,55,44,45,19,14,5,0,32,0,0,6521,411,0,325,8,333,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,44,33,2,100,0,0,1,17,36,0,2,98,0,0,0,198,121
6967,591,344,38,44,9999,0,1500,0,3639,6386,2,2,1171,441,1353,1,0,61,60,81,0,0,0,82,0,1824,1920,3337,1461,187,27,90,86,90,89,25,21,27,21,33,0,0,6521,411,0,325,8,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,44,33,2,100,0,0,1,18,36,0,2,98,0,0,0,187,121
7966,591,344,38,44,9999,0,1500,0,3639,6753,2,2,1171,441,1555,1,0,60,60,77,1,0,0,20,0,1824,1920,3345,1492,189,10,44,21,29,47,5,10,5,17,31,0,0,6521,411,0,325,8,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,44,33,2,100,0,0,1,18,36,0,2,98,0,0,0,189,121
8967,591,344,38,44,9999,0,1500,0,3639,5909,2,2,1171,441,1555,1,0,60,60,78,0,0,3,4,0,1824,1920,3400,1457,189,14,50,35,55,42,10,14,11,0,33,0,0,6521,411,0,325,8,333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,44,33,2,100,0,0,1,17,36,0,2,98,0,0,0,189,121
9967,591,344,37,44,9999,0,1500,0,3633,5801,2,2,1171,441,1555,1,0,60,60,79,0,0,1,2,0,1824,1920,3282,1460,189,22,47,25,36,36,22,19,11,5,31,0,0,6521,411,0,325,8,333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,44,33,2,100,0,0,1,17,36,0,2,98,0,0,0,189,121
10967,591,344,37,44,9999,0,1500,0,3633,5896,2,2,1171,441,1555,1,0,60,60,79,0,0,3,3,0,1824,1920,3428,1445,190,19,44,42,29,38,14,10,19,5,33,0,0,6521,411,0,325,8,333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,43,33,2,100,0,0,1,17,36,0,2,98,0,0,0,190,121
