Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
998,643,694,46,43,9999,0,1428,0,3694,5275,2,2,2419,441,2000,1,0,60,60,36,0,0,0,82,0,1832,1920,2773,1417,0,9,16,52,38,47,4,9,0,0,28,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,39,55,1,99,1,0,1,39,35,1,0,100,0,0,0,0,121
1996,643,694,46,43,9999,0,1303,0,3694,4813,2,2,1171,441,1353,1,0,60,60,37,0,0,0,139,0,1832,1920,2727,1087,0,5,54,42,33,42,0,5,0,5,24,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,42,45,1,100,0,0,1,38,34,16,2,98,0,0,0,0,121
2996,643,694,46,43,9999,0,1238,0,3694,4573,2,2,1171,441,1353,1,0,60,60,36,0,0,0,112,0,1832,1920,2490,1166,0,5,42,47,50,39,5,0,0,5,23,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,22,26,1,100,0,0,1,42,45,12,0,100,0,0,0,0,121
3996,643,694,46,43,9999,0,1247,0,3694,4606,2,2,1171,441,1353,1,0,60,60,36,0,0,0,44,0,1832,1920,2553,1087,0,5,35,47,38,41,5,0,0,10,24,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,22,26,1,100,0,0,1,42,45,11,0,100,0,0,0,0,121
4996,643,694,46,43,9999,0,1353,0,3700,5006,2,2,1171,441,1353,1,0,60,60,36,0,0,0,20,0,1832,1920,2655,1083,0,13,56,29,44,26,10,13,5,0,24,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,22,26,1,100,0,0,1,42,45,11,0,100,0,0,0,0,121
5996,643,694,46,43,9999,0,1236,0,3700,4573,2,2,1171,441,1353,1,0,60,60,37,0,0,0,23,0,1832,1920,2475,1065,0,9,38,43,47,36,0,9,0,9,23,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,22,26,1,100,0,0,1,42,44,11,0,100,0,0,0,0,121
6997,643,694,46,43,9999,0,1243,0,3700,4599,2,2,1171,441,1353,1,0,60,60,36,0,0,0,101,0,1832,1920,2469,1099,0,0,42,47,31,39,0,0,0,18,23,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,21,26,1,100,0,0,2,36,44,10,0,100,0,0,0,0,121
7996,643,694,46,43,9999,0,1239,0,3700,4584,2,2,1171,441,1353,1,0,60,60,36,0,0,0,56,0,1832,1920,2589,1119,0,17,42,47,39,40,5,17,0,0,25,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,21,26,1,100,0,0,1,42,45,12,0,100,0,0,0,0,121
8996,643,694,46,43,9999,0,1239,0,3700,4584,2,2,1171,441,1353,1,0,60,60,36,0,0,0,56,0,1832,1920,2550,1093,0,0,42,39,33,50,0,0,0,10,24,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,22,26,1,100,0,0,1,40,44,11,0,100,0,0,0,0,121
9996,643,694,46,43,9999,0,1228,0,3700,4543,2,2,1171,441,1353,1,0,60,60,36,0,0,0,37,0,1832,1920,2412,1123,0,5,44,42,45,31,5,0,0,10,23,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,21,26,1,100,0,0,1,41,45,12,0,100,0,0,0,0,121
10996,643,694,46,43,9999,0,1288,0,3700,4765,2,2,1171,441,1353,1,0,60,60,36,0,0,0,50,0,1832,1920,2726,1458,393,0,42,41,54,35,0,0,0,0,28,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,22,26,1,100,0,0,1,42,45,12,0,100,0,0,0,393,121
11997,643,694,46,43,9999,0,1326,0,3700,4906,2,2,1171,441,1353,1,0,60,60,36,0,0,0,51,0,1832,1920,2606,1830,209,5,47,35,26,31,5,5,0,12,32,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,41,43,1,100,0,0,1,39,39,10,3,97,0,0,0,209,121
12120,643,694,46,43,9999,0,1326,0,3700,4906,2,2,2419,441,2000,1,0,60,60,36,0,0,0,51,0,1832,1920,2606,1830,209,5,47,35,26,31,5,5,0,12,32,0,0,6843,761,0,680,6,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,41,43,1,100,0,0,1,39,39,10,3,97,0,0,0,209,121
38001,414,793,45,43,9999,0,1289,0,3695,4762,2,2,1171,441,1353,1,0,57,60,36,0,0,21,88,0,1832,1920,2795,1399,187,17,56,31,39,31,17,0,0,0,28,0,0,7017,860,0,778,6,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,38,33,1,100,0,0,1,39,40,12,3,97,0,0,0,187,121
38999,414,793,45,43,9999,0,1342,0,3695,4958,2,2,1171,441,2000,1,0,29,60,36,0,0,19,6,0,1832,1920,3217,1390,199,47,90,70,76,88,35,47,31,100,22,0,0,7017,860,0,778,6,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64,33,3,99,1,0,3,34,38,0,3,97,0,0,0,199,121
39998,414,793,45,43,9999,0,1500,0,3695,6562,2,2,1171,441,1353,1,0,57,60,148,0,0,48,56,0,1824,1920,3068,1390,228,43,100,95,84,100,28,43,35,0,30,0,0,7017,860,0,778,6,785,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,44,33,2,100,0,0,1,16,36,0,2,98,0,0,0,228,121
40997,414,793,45,43,9999,0,1500,0,3695,6059,2,2,1171,441,1353,1,0,53,60,116,2,0,9,53,0,1824,1920,3317,1398,184,27,80,80,61,61,27,5,5,0,31,0,0,7017,860,0,778,6,785,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,44,33,2,100,0,0,1,16,36,0,2,98,0,0,0,184,121
42000,414,793,45,43,9999,0,1500,0,3695,5638,2,2,1171,441,1353,1,0,59,60,101,0,0,11,3,0,1824,1920,3299,1426,189,10,41,57,44,52,0,5,10,14,32,0,0,7017,860,0,778,6,785,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,44,33,2,100,0,0,1,17,36,0,2,98,0,0,0,189,121
42997,414,793,45,43,9999,0,1485,0,3695,5487,2,2,1171,441,1353,1,0,53,60,94,0,0,2,2,0,1824,1920,3302,1433,187,19,50,52,44,35,0,5,19,0,33,0,0,7017,860,0,778,6,785,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,44,33,2,100,0,0,1,17,36,0,2,98,0,0,0,187,121
43997,414,793,45,43,9999,0,1500,0,3695,5620,2,2,1171,441,1353,1,0,52,60,83,0,0,8,3,0,1824,1920,3178,1424,193,14,41,50,42,41,10,14,5,0,22,0,0,7017,860,0,778,6,785,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,47,33,2,100,0,0,2,20,37,0,2,98,0,0,0,193,121
44999,414,793,45,43,9999,0,1500,0,3677,5787,2,2,1171,441,1353,1,0,57,60,79,0,0,20,6,0,1824,1920,3258,1448,199,22,44,25,47,42,22,10,10,21,32,0,0,7017,860,0,778,6,785,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,44,33,2,100,0,0,1,18,36,0,2,98,0,0,0,199,121
45997,414,793,45,43,9999,0,1500,0,3677,5798,2,2,1171,441,1353,1,0,60,60,79,0,0,7,51,0,1824,1920,3285,1456,198,31,41,26,56,38,10,15,31,18,33,0,0,7017,860,0,778,6,785,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,44,33,2,100,0,0,1,18,36,0,2,98,0,0,0,198,121
46997,414,793,45,43,9999,0,1500,0,3677,6236,2,2,1171,441,1353,1,0,60,60,78,0,0,0,53,0,1824,1920,3327,1841,200,19,55,31,35,37,14,19,11,16,39,0,0,7017,860,0,778,6,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,51,90,2,99,1,0,1,15,27,1,1,99,0,0,0,200,121
47998,414,793,45,43,9999,0,1500,0,3677,6059,2,2,1171,441,1353,1,0,60,60,79,0,0,1,14,0,1824,1920,3594,1832,202,23,55,42,42,42,15,11,23,15,41,0,0,7017,860,0,778,6,785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,51,90,2,99,1,0,1,15,27,1,1,99,0,0,0,202,121
48997,414,793,45,43,9999,0,1500,0,3677,5750,2,2,1171,441,1353,1,0,56,60,81,0,0,3,3,0,1824,1920,3767,1869,200,34,44,50,38,42,19,29,34,21,41,0,0,7017,860,0,778,6,785,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,52,88,2,99,1,0,1,15,27,1,1,99,0,0,0,200,121
49998,414,793,45,43,9999,0,1500,0,3677,6324,2,2,1171,441,1353,1,0,55,60,84,0,0,7,4,0,1824,1920,3801,1867,205,21,57,47,38,50,11,10,21,25,42,0,0,7017,860,0,778,6,785,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,50,90,2,99,1,0,1,16,27,1,1,99,0,0,0,205,121
50997,414,793,45,43,9999,0,1500,0,3677,6140,2,2,1171,441,1353,1,0,61,60,87,0,0,5,3,0,1824,1920,3503,1844,198,23,52,44,36,52,23,19,19,23,40,0,0,7017,860,0,778,6,785,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,51,90,2,99,1,0,1,15,27,1,1,99,0,0,0,198,121
51997,414,793,45,43,9999,0,1500,0,3677,6254,2,2,1171,441,1353,1,0,61,60,89,0,0,1,3,0,1824,1920,3364,1850,214,25,60,42,42,47,15,14,25,19,41,0,0,7017,860,0,778,6,785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,50,90,2,99,1,0,1,16,27,1,1,99,0,0,0,214,121
52997,414,793,45,43,9999,0,1500,0,3677,6350,2,2,1171,441,1353,1,0,60,60,90,0,0,3,3,0,1824,1920,3479,1838,198,19,52,31,25,33,11,14,19,28,40,0,0,7017,860,0,778,6,785,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,51,90,2,99,1,0,1,15,27,1,1,99,0,0,0,198,121
53998,414,793,45,43,9999,0,1500,0,3677,6272,2,2,1171,441,1353,1,0,60,60,90,0,0,0,6,0,1824,1920,3489,1461,200,19,41,31,36,25,19,19,11,0,32,0,0,7017,860,0,778,6,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,45,33,2,100,0,0,1,19,37,0,2,98,0,0,0,200,121
54998,414,793,45,43,9999,0,1500,0,3661,5886,2,2,1171,441,1353,1,0,60,60,90,0,0,3,2,0,1824,1920,3582,1456,204,25,47,44,44,27,11,25,15,5,33,0,0,7017,860,0,778,6,785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,43,33,2,100,0,0,1,17,36,0,1,99,0,0,0,204,121
56000,414,793,45,43,9999,0,1500,0,3661,5982,2,2,1171,441,1353,1,0,59,60,89,0,0,4,4,0,1824,1920,3473,1491,198,28,55,36,31,50,15,5,28,14,33,0,0,7017,860,0,778,6,785,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,44,33,2,100,0,0,1,18,36,0,2,98,0,0,0,198,121
56998,414,793,45,43,9999,0,1500,0,3660,6258,2,2,1171,441,1555,1,0,61,60,89,0,0,2,3,0,1824,1920,3460,1485,199,23,50,36,25,25,23,11,5,14,33,0,0,7017,860,0,778,6,785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,44,33,2,100,0,0,1,19,36,0,2,98,0,0,0,199,121
58003,221,924,45,43,9999,0,1500,0,3660,5958,2,2,1171,441,1555,1,0,59,60,90,0,0,2,7,0,1824,1920,3433,1469,205,26,64,43,36,23,23,26,14,5,31,0,0,7397,962,0,917,1,918,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,44,33,2,100,0,0,1,18,36,0,2,98,0,0,0,205,121
58997,221,924,45,43,9999,0,1500,0,3660,6006,2,2,1171,441,1555,1,0,60,60,89,0,0,2,2,0,1824,1920,3441,1452,197,30,69,57,52,50,28,30,28,14,32,0,0,7397,962,0,917,1,918,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,43,34,2,100,0,0,1,19,36,0,2,98,0,0,0,197,121
59998,221,924,45,43,9999,0,1500,0,3660,5998,2,2,1171,441,1555,1,0,60,60,89,0,0,0,2,0,1824,1920,3448,1455,199,31,47,42,31,33,31,19,10,10,32,0,0,7397,962,0,917,1,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,44,33,2,100,0,0,1,17,36,0,2,98,0,0,0,199,121
60998,221,924,45,43,9999,0,1500,0,3660,5962,2,2,1171,441,1555,1,0,57,60,90,0,0,4,3,0,1824,1920,3209,1454,200,14,60,47,23,31,6,14,10,0,34,0,0,7397,962,0,917,1,918,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,44,33,2,100,0,0,1,17,36,0,2,98,0,0,0,200,121
61998,221,924,45,43,9999,0,1500,0,3660,6090,2,2,1171,441,1555,1,0,57,60,90,0,0,5,3,0,1824,1920,3465,1824,200,21,50,36,42,29,21,14,19,16,40,0,0,7397,962,0,917,1,918,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,51,90,2,99,1,0,1,15,27,1,1,99,0,0,0,200,121
63000,221,924,45,43,9999,0,1500,0,3660,6046,2,2,1171,441,1353,1,0,60,60,90,0,0,2,4,0,1824,1920,3446,1474,198,15,38,42,43,45,15,10,10,13,32,0,0,7397,962,0,917,1,918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,44,33,2,100,0,0,1,18,36,0,2,98,0,0,0,198,121
64001,221,924,45,43,9999,0,1500,0,3660,5991,2,2,1171,441,1353,1,0,59,60,91,0,0,6,2,0,1824,1920,3602,1487,206,16,50,31,36,36,16,10,5,10,34,0,0,7397,962,0,917,1,918,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,43,34,2,100,0,0,1,19,36,0,2,98,0,0,0,206,121
64998,221,924,45,44,9999,0,1500,0,3664,6243,2,2,1171,441,1353,1,0,60,60,91,0,0,3,6,0,1824,1920,3509,1478,200,16,64,42,33,35,16,11,5,5,35,0,0,7397,962,0,917,1,918,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,44,33,2,100,0,0,1,18,36,0,2,98,0,0,0,200,121
