Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
996,2104,160,59,43,9999,0,1345,0,3776,5078,2,2,2419,441,2000,1,0,61,60,34,1,0,0,25,1,1832,1920,2346,981,0,5,75,66,47,66,5,0,5,0,20,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,36,44,1,99,1,0,1,31,39,11,15,85,0,0,0,0,121
1996,2104,160,59,43,9999,0,1287,0,3776,4859,2,2,2419,441,2000,1,0,60,60,37,0,0,0,16,1,1832,1920,2373,1155,306,4,52,58,44,46,4,4,0,5,23,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,18,25,1,100,0,0,1,37,44,11,18,82,0,0,0,306,121
2997,2104,160,59,43,9999,0,1231,0,3797,4674,2,2,1171,441,1353,1,0,60,60,36,0,0,0,20,1,1832,1920,2459,996,0,0,52,41,23,42,0,0,0,10,22,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,18,25,1,100,0,0,2,39,44,11,17,83,0,0,0,0,121
3996,2104,160,59,42,9999,0,1204,0,3797,4571,2,2,1171,441,1353,1,0,60,60,37,0,0,0,43,1,1832,1920,2623,1097,0,13,39,41,23,37,0,9,13,10,24,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,18,26,1,100,0,0,1,36,44,11,18,82,0,0,0,0,121
5000,2104,160,59,42,9999,0,1244,0,3799,4725,2,2,1171,441,1353,1,0,60,60,36,0,0,0,44,1,1832,1920,2529,1072,0,17,50,45,33,27,17,0,5,10,23,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,17,26,1,100,0,0,2,36,44,11,18,82,0,0,0,0,121
5997,2104,160,59,42,9999,0,1087,0,3799,4129,2,2,1171,441,1353,1,0,60,60,36,0,0,0,36,1,1832,1920,2497,1081,0,5,55,50,42,64,5,0,0,14,23,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,17,25,1,100,0,0,2,32,44,11,18,82,0,0,0,0,121
6997,2104,160,59,42,9999,0,1158,0,3799,4399,2,2,1171,441,1353,1,0,60,60,36,0,0,0,25,1,1832,1920,2343,1102,0,9,36,39,16,50,5,0,9,13,22,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,17,25,1,100,0,0,2,36,44,11,18,82,0,0,0,0,121
7997,2104,160,59,42,9999,0,1191,0,3799,4524,2,2,1171,441,1353,1,0,60,60,36,0,0,0,48,1,1832,1920,2497,1097,0,13,44,35,12,38,0,5,13,0,23,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,17,26,1,100,0,0,2,32,43,11,17,83,0,0,0,0,121
8997,2104,160,59,42,9999,0,1263,0,3799,4798,2,2,1171,441,1353,1,0,60,60,36,0,0,0,53,1,1832,1920,2318,1090,0,9,52,29,11,39,4,9,0,5,22,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,17,25,1,100,0,0,2,34,44,10,17,84,0,0,0,0,121
9997,2104,160,59,42,9999,0,1291,0,3799,4904,2,2,1171,441,1353,1,0,60,60,37,0,0,0,34,1,1832,1920,2319,1121,0,5,35,47,21,50,0,5,5,14,21,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,17,25,1,100,0,0,2,35,44,11,18,82,0,0,0,0,121
10997,2104,160,59,42,9999,0,1237,0,3799,4699,2,2,1171,441,1353,1,0,60,60,36,0,0,0,12,1,1832,1920,2431,1105,0,5,55,43,50,73,5,0,5,10,24,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,18,26,1,100,0,0,2,36,44,11,18,82,0,0,0,0,121
11997,2104,160,59,42,9999,0,1281,0,3799,4866,2,2,1171,441,1353,1,0,60,60,36,0,0,0,11,1,1832,1920,2486,1071,0,14,44,42,27,38,13,0,14,0,23,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,18,26,1,100,0,0,1,38,44,11,18,82,0,0,0,0,121
12997,2104,160,59,42,9999,0,1159,0,3799,4403,2,2,1171,441,1353,1,0,60,60,36,0,0,0,37,1,1832,1920,2588,1082,0,15,47,38,33,36,5,5,15,9,24,0,0,6100,235,0,143,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,18,26,1,100,0,0,1,39,44,11,18,82,0,0,0,0,121
