Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
997,3261,156,96,30,9999,0,966,0,4212,4068,2,2,1171,441,1353,1,0,60,60,37,0,0,0,162,1,1832,1920,2137,2106,0,9,44,26,27,40,9,5,0,13,28,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,215,16,15,1,99,1,0,2,24,38,11,13,87,0,0,0,0,121
1997,3261,156,96,30,9999,0,1078,0,4212,4540,2,2,1171,441,1353,1,0,60,60,37,0,0,0,13,1,1832,1920,2120,2103,0,16,39,23,34,19,4,13,16,0,27,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,226,16,15,1,99,1,0,2,25,38,12,14,86,0,0,0,0,121
2997,3261,156,96,30,9999,0,939,0,4212,3955,2,2,1171,441,1353,1,0,60,60,36,0,0,0,2,1,1832,1920,2136,2106,0,5,52,42,26,39,0,0,5,5,27,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,217,16,15,1,99,1,0,2,25,38,11,13,87,0,0,0,0,121
3997,3261,156,96,30,9999,0,936,0,4212,3942,2,2,1171,441,1353,1,0,60,60,36,0,0,0,2,1,1832,1920,2277,2130,0,9,45,25,16,28,0,9,0,10,28,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,217,16,15,1,99,1,0,2,26,38,11,13,87,0,0,0,0,121
4997,3261,156,96,30,9999,0,944,0,4212,3976,2,2,1171,441,1353,1,0,60,60,36,0,0,0,3,1,1832,1920,2231,2130,0,5,45,19,19,21,5,5,0,5,29,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,214,16,15,1,99,1,0,2,26,38,11,13,87,0,0,0,0,121
5997,3261,156,96,30,9999,0,958,0,4212,4035,2,2,1171,441,1353,1,0,60,60,36,0,0,0,9,1,1832,1920,2213,2121,0,9,42,19,19,27,4,5,9,0,28,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,217,16,15,1,99,1,0,2,25,38,11,13,87,0,0,0,0,121
6997,3261,156,96,30,9999,0,954,0,4212,4018,2,2,1171,441,1353,1,0,60,60,36,0,0,0,10,1,1832,1920,2208,2108,0,5,27,25,16,30,5,4,5,18,27,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,217,16,15,1,99,1,0,2,25,38,11,13,87,0,0,0,0,121
7997,3261,156,96,31,9999,0,931,0,4220,3928,2,2,1171,441,1353,1,0,60,60,36,0,0,0,45,1,1832,1920,2240,2106,0,0,39,19,27,15,0,0,0,10,27,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,219,16,15,1,99,1,0,2,25,38,11,13,87,0,0,0,0,121
8997,3261,156,96,31,9999,0,1022,0,4220,4312,2,2,1171,441,1353,1,0,60,60,37,0,0,0,131,1,1832,1920,2155,2106,0,9,33,11,19,39,4,5,9,0,28,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,240,16,15,1,99,1,0,2,26,38,12,13,87,0,0,0,0,121
9997,3261,156,96,31,9999,0,975,0,4220,4114,2,2,1171,441,1353,1,0,60,60,37,0,0,0,78,1,1832,1920,2506,2112,0,0,36,21,21,28,0,0,0,5,29,0,0,6079,244,0,145,5,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,233,17,15,1,100,0,0,1,29,38,11,13,87,0,0,0,0,121
