Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
998,227,890,23,46,9999,0,1500,0,3581,6213,2,2,1171,441,1555,1,0,60,60,36,0,0,0,3,0,1832,1920,2587,1395,183,33,83,83,75,75,33,25,25,10,28,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,38,33,1,100,0,0,1,37,40,12,3,97,0,0,0,183,121
1996,227,890,23,46,9999,0,1500,0,3581,6130,2,2,1171,441,1804,1,0,60,60,36,0,0,0,27,0,1832,1920,2458,1399,185,19,88,86,84,100,19,19,16,14,25,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,39,33,1,100,0,0,1,36,40,11,3,97,0,0,0,185,121
2995,227,890,23,46,9999,0,1500,0,3585,5822,2,2,1171,441,1353,1,0,60,60,37,0,0,0,13,0,1832,1920,2593,1397,188,5,75,94,71,84,5,0,5,14,27,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,38,33,1,100,0,0,1,38,40,12,3,97,0,50,544,732,121
3996,227,890,23,46,9999,0,1500,0,3585,6546,2,2,2419,441,2000,1,0,60,60,37,1,0,0,44,0,1832,1920,2570,1399,187,17,86,76,85,89,0,17,0,22,27,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,37,33,1,100,0,0,1,38,40,12,3,97,0,50,544,731,121
4999,227,890,23,46,9999,0,1500,0,3585,7256,2,2,2419,441,2000,1,0,60,60,37,0,0,0,8,0,1832,1920,2581,1402,183,10,100,100,100,100,10,0,9,57,27,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,38,33,1,100,0,0,1,38,40,12,3,97,0,0,0,183,121
5996,227,890,23,46,9999,0,1500,0,3555,6925,2,2,2419,441,2000,1,0,60,60,36,0,0,0,6,0,1832,1920,2803,1807,97,10,94,89,95,100,10,5,5,52,30,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,289,21,15,1,100,0,0,1,34,37,9,0,100,0,0,0,97,121
6996,227,890,23,46,9999,0,1500,0,3555,6996,2,2,2419,441,2000,1,0,60,60,36,0,0,0,185,0,1832,1920,2773,2257,0,5,81,84,82,85,5,0,0,44,37,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,280,30,52,1,99,1,0,1,30,23,11,1,99,0,0,0,0,121
7998,227,890,23,47,9999,0,1500,0,3549,7367,2,2,2419,441,2000,1,0,60,60,36,0,0,0,141,0,1832,1920,2796,2264,0,18,84,88,94,100,18,10,0,35,35,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,288,31,49,1,99,1,0,1,31,23,11,0,100,0,0,0,0,121
8997,227,890,23,47,9999,0,1500,0,3549,6253,2,2,2419,441,2000,1,0,60,60,36,0,0,0,31,0,1832,1920,2824,2273,0,5,60,65,63,58,5,5,0,22,36,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,277,31,49,1,99,1,0,1,31,23,11,0,100,0,51,517,517,121
9997,227,890,23,47,9999,0,1500,0,3549,6998,2,2,2419,441,2000,1,0,60,60,37,0,0,0,5,0,1832,1920,2854,2259,0,0,63,90,71,85,0,0,0,44,38,0,0,7041,916,0,886,1,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,283,31,49,1,99,1,0,1,30,23,10,0,100,0,51,517,517,121
