Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
997,3298,154,98,32,9999,0,1037,0,4177,4331,2,2,1171,441,1353,1,0,60,60,37,0,0,0,159,1,1832,1920,2474,2060,0,5,17,11,21,25,5,5,0,5,28,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
1997,3298,154,98,32,9999,0,1025,0,4177,4281,2,2,1171,441,1353,1,0,60,60,37,0,0,0,87,1,1832,1920,2456,2062,0,17,26,30,21,36,4,4,17,0,28,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
2997,3298,154,98,32,9999,0,1003,0,4177,4189,2,2,1171,441,1353,1,0,60,60,37,0,0,0,11,1,1832,1920,2540,2086,0,4,19,25,22,22,4,0,0,10,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
4000,3298,154,98,32,9999,0,979,0,4194,4105,2,2,1171,441,1353,1,0,60,60,37,0,0,0,3,1,1832,1920,2557,2120,0,28,60,50,47,36,28,19,23,10,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
4998,3298,154,98,32,9999,0,1208,0,4194,5066,2,2,1171,441,1353,1,0,60,60,36,0,0,0,5,1,1832,1920,2558,2077,0,10,42,26,17,21,0,10,5,0,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
5998,3298,154,98,32,9999,0,1146,0,4194,4806,2,2,1171,441,1353,1,0,60,60,37,0,0,0,5,1,1832,1920,2530,2092,0,5,35,25,45,15,4,0,5,5,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
6997,3298,154,98,32,9999,0,1046,0,4194,4386,2,2,1171,441,1353,1,0,60,60,37,0,0,0,3,1,1832,1920,2584,2095,0,21,42,33,42,33,21,0,10,14,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
7998,3298,154,98,32,9999,0,1152,0,4194,4831,2,2,1171,441,1353,1,0,60,60,36,0,0,0,3,1,1832,1920,2418,2076,0,18,31,33,36,22,10,10,18,14,28,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
8997,3298,154,98,32,9999,0,1155,0,4194,4844,2,2,1171,441,1353,1,0,60,60,36,0,0,0,2,1,1832,1920,2529,2086,0,20,26,11,31,0,9,0,20,5,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
9998,3298,154,98,32,9999,0,1029,0,4194,4315,2,2,1171,441,1353,1,0,60,60,37,0,0,0,5,1,1832,1920,2533,2087,0,38,44,36,50,30,38,5,14,14,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
10998,3298,154,98,32,9999,0,1149,0,4194,4818,2,2,1171,441,1353,1,0,60,60,37,0,0,0,2,1,1832,1920,2510,2117,0,18,42,0,22,22,14,18,0,5,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
11998,3298,154,98,32,9999,0,1082,0,4194,4537,2,2,1171,441,1353,1,0,60,60,36,0,0,0,3,1,1832,1920,2576,2097,0,13,21,27,31,27,5,4,13,0,29,0,0,6110,240,0,143,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
