Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
12001,196,867,31,45,9999,0,1500,0,3614,5800,2,2,1171,441,1353,1,0,60,60,86,0,0,0,31,0,1824,1920,3280,1094,0,11,60,37,42,47,11,0,10,13,28,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,17,38,0,0,100,0,0,0,0,121
13001,196,867,31,45,9999,0,1500,0,3614,5941,2,2,1171,441,1353,1,0,60,60,89,0,0,1,27,0,1824,1920,3391,1142,0,11,72,47,44,55,5,5,11,17,30,0,0,7205,892,0,861,1,862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
14001,196,867,31,45,9999,0,1500,0,3614,5970,2,2,1171,441,1353,1,0,60,60,90,0,0,0,27,0,1824,1920,3359,1141,0,14,78,43,62,47,10,14,5,0,30,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
15001,196,867,31,45,9999,0,1500,0,3608,6097,2,2,1171,441,1555,1,0,60,60,93,0,0,0,36,0,1824,1920,3359,1145,0,22,73,42,50,60,11,22,19,5,28,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
16001,196,867,31,45,9999,0,1500,0,3608,5909,2,2,1171,441,1555,1,0,60,60,96,0,0,0,46,0,1824,1920,3260,1655,302,11,71,66,63,66,11,11,5,5,33,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,51,53,2,100,0,0,1,18,32,5,2,98,0,0,0,302,121
17001,196,867,31,45,9999,0,1500,0,3608,6855,2,2,1171,441,1555,1,0,60,60,97,0,0,1,58,0,1824,1920,3250,1159,0,19,72,47,57,61,10,19,15,10,28,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,30,29,1,100,0,0,1,18,38,0,1,99,0,0,0,0,121
18005,237,864,31,45,9999,0,1500,0,3608,6155,2,2,1171,441,1555,1,0,60,60,97,0,0,0,35,0,1824,1920,3397,1154,0,23,57,38,56,57,23,23,5,0,29,0,0,7205,893,0,857,2,859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
19003,237,864,31,45,9999,0,1500,0,3608,6187,2,2,1171,441,1555,1,0,60,60,96,0,0,0,47,0,1824,1920,3110,1118,0,25,68,50,37,38,10,25,11,18,28,0,0,7205,893,0,857,2,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
20002,237,864,31,45,9999,0,1500,0,3608,5837,2,2,1171,441,1804,1,0,60,60,95,0,0,0,29,0,1824,1920,3365,1219,130,19,75,63,64,47,10,10,19,22,30,0,0,7205,893,0,857,2,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,17,38,0,0,100,0,0,0,130,121
21001,237,864,31,45,9999,0,1500,0,3608,6122,2,2,1171,441,1353,1,0,60,60,95,0,0,0,30,0,1824,1920,3425,1146,0,19,73,42,47,47,19,10,15,0,30,0,0,7205,893,0,857,2,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
